category,auc_roc_SVM,auc_roc_DT,auc_roc_RF,auc_roc_LR,auc_roc_GB,acc_SVM,acc_DT,acc_RF,acc_LR,acc_GB,time_SVM,time_DT,time_RF,time_LR,time_GB
0,0.0,0.0,0.0,0.0,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,0.8932223530105369,0.8678568742134912,0.8763410037630441,0.878588462031068,0.8674157177737254,0.8950941067571737,0.9546436285097192,0.9605060166615242,0.9435359456957729,0.9561863622338784,18.463876485824585,44.527289390563965,45.58164191246033,17.845230102539062,39.59783458709717
3,0.7225696694036396,0.8460695129422238,0.8104359764294182,0.8237065489019054,0.8593489001423578,0.9694656488549618,0.972784600066379,0.972784600066379,0.9697975439761035,0.9754397610355128,18.618764638900757,45.29197359085083,45.21644902229309,18.108550310134888,39.128843545913696
4,0.6190476190476191,0.7364888123924269,0.7352839931153184,0.8781411359724612,0.7364888123924269,0.9873617693522907,0.9881516587677726,0.985781990521327,0.990521327014218,0.9881516587677726,19.645789623260498,45.094475507736206,45.959389448165894,18.17869472503662,39.08288073539734
5,0.658692502716407,0.7009597971749366,0.5626041289387902,0.67942774357117,0.7029518290474466,0.9874706342991386,0.9827721221613156,0.9741581832419733,0.9843382928739233,0.9866875489428347,18.695513010025024,45.01598048210144,45.73933935165405,18.311993837356567,39.00805330276489
6,0.7931034482758621,0.8275862068965517,0.8171893183070986,0.8439394867397563,0.8448275862068966,0.9797297297297297,0.9831081081081081,0.9788851351351351,0.9831081081081081,0.9847972972972973,19.0025691986084,44.540324449539185,45.6352698802948,17.90319275856018,39.48649001121521
7,0.8075560469104317,0.8858678241424147,0.8883741527792608,0.8479211291670069,0.8884746571857509,0.8082706766917294,0.8859649122807017,0.8884711779448622,0.8483709273182958,0.8884711779448622,19.199464082717896,45.860332012176514,46.49429965019226,18.319113969802856,38.65343403816223
8,0.7417725441586615,0.8231484350790207,0.7802912922218779,0.8133870467926867,0.8220638363805391,0.9616935483870968,0.9657258064516129,0.9596774193548387,0.9475806451612904,0.9637096774193549,18.56275177001953,45.534364461898804,46.3186354637146,17.794431447982788,39.2456259727478
9,0.870235934664247,0.8810718479769403,0.9014092025194833,0.8850485747838155,0.896765239671186,0.9238845144356955,0.9422572178477691,0.952755905511811,0.937007874015748,0.9448818897637795,19.39869213104248,45.55312490463257,45.353898763656616,18.205042362213135,38.63354516029358
10,0.9224227925184862,0.9289691170073945,0.9227707698999565,0.9270987385819923,0.9321661591996521,0.8931750741839762,0.9347181008902077,0.9258160237388724,0.9228486646884273,0.9347181008902077,18.791409730911255,45.422330141067505,45.90730857849121,18.33876347541809,38.910330057144165
11,0.8169234472797304,0.7797303803562831,0.8039239287433798,0.8075349061145883,0.8039239287433798,0.8622448979591837,0.8469387755102041,0.8622448979591837,0.8316326530612245,0.8622448979591837,19.03237819671631,44.88469314575195,45.04994082450867,18.178373098373413,39.423726081848145
12,0.0,0.0,0.0,0.0,,,,,,,,,,,
13,0.5,0.830952380952381,0.7295918367346939,0.7295918367346939,0.8244897959183674,0.765625,0.8828125,0.8515625,0.8515625,0.890625,19.17472004890442,45.33687424659729,45.90508818626404,18.304966926574707,39.13477444648743
14,0.5,0.795575221238938,0.595575221238938,0.795575221238938,0.7911504424778761,0.9576271186440678,0.9745762711864406,0.9576271186440678,0.9745762711864406,0.9661016949152542,21.915456533432007,45.5608229637146,45.77596187591553,18.385902166366577,38.4847846031189
